# Time series of US dollars raised by Jill Stein's recount fundraiser for the
# 2016 US presidential election.
#
# MINUTES = time datum scraped, in minutes elapsed after the first datum
# DOLLARS = US dollars raised, as scraped from her campaign's website
MINUTES	DOLLARS
1796.35	4465991.99
1798.33	4467469.99
1800.12	4469643.99
1801.72	4471235.99
1803.27	4472745.01
1805.27	4473797.02
1806.98	4476618.01
1808.68	4477268.01
1810.43	4478461.18
1812.43	4481056.48
1814.23	4482350.49
1816.17	4484068.21
1818.08	4485663.21
1819.97	4487617.5
1821.48	4488343.5
1823.07	4489394.5
1824.97	4490254.5
1826.53	4492611
1828.52	4495702
1830.25	4497193.16
1831.83	4499523.16
1833.67	4500691.92
1835.72	4503522.98
1837.58	4504793.98
1839.37	4505518.98
1841.3	4507075.23
1842.92	4508637.23
1844.93	4510075.23
1846.65	4510630.23
1848.62	4511221.23
1850.15	4512852.23
1851.83	4513852.23
1853.65	4515240.49
1855.35	4516096.49
1857.03	4518204.49
1858.7	4519970.49
1860.7	4521114.49
1862.43	4522454.49
1864.22	4523400.49
1865.77	4525853.49
1867.52	4526682.49
1869.07	4527378.49
1870.58	4528276.49
1872.3	4529401.49
1874.27	4531561
1876.37	4533064
1878.28	4533765
1880.17	4535312
1881.77	4536127
1883.42	4537472
1884.93	4538699.77
1886.55	4540025.77
1888.08	4540622.77
1890.07	4542128.51
1891.77	4543167.27
1893.77	4544478.27
1895.3	4545436.52
1896.9	4546156.52
1898.82	4547333.52
1900.62	4547974.52
1902.42	4548857.52
1904.22	4550295.52
1905.95	4551248.81
1907.77	4552076.81
1909.4	4552860.81
1911.43	4554910.81
1913.5	4556573.97
1915.08	4557200.97
1916.92	4559210.97
1918.75	4560762.97
1920.72	4561692.97
1922.45	4562762.97
1924.18	4563874.97
1925.83	4564634.97
1927.45	4565263.97
1929.42	4566246.97
1931.03	4567323.97
1932.63	4568405.97
1934.27	4569086.97
1936.27	4569621.97
1938.02	4572466.97
1939.95	4578331.97
1941.73	4579331.97
1943.43	4579958.08
1945.27	4580720.08
1946.98	4581676.08
1948.73	4585605.11
1950.72	4589012.11
1952.6	4589408.11
1954.37	4589987.11
1955.95	4590550.66
1957.73	4591039.66
1959.68	4591863.66
1961.37	4593392.66
1963.02	4594129.66
1964.85	4594719.66
1966.83	4595722.66
1968.43	4595999.66
1970.35	4596859.66
1971.98	4597505.66
1973.97	4598953.66
1975.7	4599558.66
1977.58	4600490.66
1979.57	4601421.82
1981.43	4602344.82
1983.05	4602828.82
1985.05	4604013.82
1986.6	4605170.17
1988.13	4605698.17
1989.97	4606063.17
1991.83	4609397.17
1993.62	4610159.17
1995.5	4611942.17
1997.12	4612532.17
1998.72	4613097.17
2000.83	4613437.17
2002.48	4613923.17
2004.48	4614367.17
2006.12	4615868.17
2007.8	4616017.17
2009.43	4616336.17
2011.3	4617090.17
2013.08	4617457.17
2014.75	4618504.17
2016.47	4618739.17
2018.08	4618781.17
2019.93	4619326.17
2022.07	4620297.17
2023.63	4620819.17
2025.43	4623049.17
2027.05	4623553.17
2028.75	4623975.5
2030.35	4624122.5
2032.32	4625801.5
2034.02	4626328.5
2035.88	4626669.5
2037.7	4626933.5
2039.6	4627846.5
2041.27	4628533.5
2042.88	4631543.5
2044.57	4632145.5
2046.2	4632334.01
2048.15	4633520.01
2049.8	4633888.01
2051.78	4634304.01
2053.62	4634611.01
2055.23	4635279.01
2056.93	4635559.01
2058.5	4638003.01
2060.28	4638616.01
2062.07	4638808.01
2064.03	4639341.01
2065.98	4639738.01
2067.88	4640053.01
2069.6	4640862.01
2071.3	4641812.01
2073.28	4642235.01
2075.02	4642739.1
2076.98	4642922.26
2078.83	4643858.26
2080.45	4644640.26
2082.12	4644783.26
2083.83	4645188.26
2085.37	4645288.26
2087.03	4645756.26
2088.72	4649310.26
2090.43	4649767.26
2092	4649972.26
2093.63	4650181.26
2095.33	4650328.26
2096.92	4653959.26
2099.25	4654257.26
2100.82	4654398.26
2102.75	4654753.26
2104.37	4655025.26
2106	4655090.26
2107.87	4655746.26
2109.82	4655839.26
2111.77	4656279.26
2113.35	4657055.26
2115.03	4657255.26
2116.65	4657455.26
2118.58	4660242.03
2120.12	4660449.03
2122.32	4660832.03
2124.02	4661062.03
2125.67	4661313.03
2127.6	4661378.03
2129.37	4662027.03
2131.08	4662486.03
2132.65	4662507.03
2134.65	4662623.03
2136.37	4662950.03
2138.25	4663322.03
2139.8	4663582.03
2141.55	4663936.03
2143.48	4664157.03
2145.38	4664337.03
2146.92	4664704.03
2148.8	4664917.03
2150.33	4665030.03
2151.93	4665260.03
2153.53	4665340.03
2155.47	4665656.03
2157.15	4665826.03
2159.13	4665858.03
2160.75	4665987.03
2162.53	4666155.03
2164.27	4666288.03
2166.4	4666477.03
2168.37	4666647.03
2170.33	4666890.03
2172.17	4669972.03
2173.83	4670027.03
2175.47	4670206.03
2177	4670256.03
2178.73	4670437.03
2180.58	4670726.03
2182.47	4673670.03
2184.33	4673799.03
2186.28	4674321.03
2188.05	4674562.03
2189.58	4674623.03
2191.47	4674734.03
2193.02	4674883.03
2194.98	4675152.03
2196.78	4675257.03
2198.47	4675593.03
2200.02	4675622.03
2202.15	4675891.03
2203.82	4675954.03
2205.6	4676134.03
2207.37	4676202.03
2209.38	4676765.21
2211	4676881.21
2212.97	4677123.21
2214.57	4677123.21
2216.22	4677949.21
2217.95	4678297.21
2219.87	4678536.21
2221.73	4678626.21
2223.27	4678678.21
2225.27	4679039.21
2227.03	4679200.21
2228.8	4679245.21
2230.68	4679453.21
2232.58	4679482.21
2234.23	4679682.21
2236.25	4681422.21
2238.17	4681492.21
2240	4681713.21
2241.93	4681866.21
2243.85	4681930.09
2245.82	4682066.09
2247.7	4682200.09
2249.35	4682479.09
2250.93	4682711.77
2252.63	4682902.77
2254.45	4683316.77
2256.27	4683352.77
2258.08	4683389.77
2260.02	4683495.77
2261.63	4683917.77
2263.48	4684150.77
2265.48	4684278.77
2267.15	4684389.77
2268.95	4684663.77
2270.78	4684813.77
2272.78	4685221.53
2274.37	4685721.53
2276.08	4685887.53
2278.08	4686051.64
2280	4686820.64
2281.62	4686997.64
2283.45	4687369
2285.25	4687511
2287.17	4687764
2288.93	4687979
2290.7	4688045.77
2292.23	4688167.77
2293.87	4688357.77
2295.6	4688533.77
2297.57	4688893.77
2299.55	4688977.77
2301.25	4689891.77
2302.85	4690063.77
2304.58	4690231.77
2306.23	4690471.77
2307.97	4690591.77
2309.52	4690801.79
2311.13	4691749.79
2312.9	4691797.79
2314.5	4692055.79
2316.4	4692418.79
2318.28	4693687.79
2320.1	4694091.79
2321.82	4694624.79
2323.7	4697775.79
2325.62	4697933.79
2327.22	4698709.79
2329.18	4698925.79
2330.97	4699233.79
2332.73	4699923.79
2334.62	4700519.79
2336.4	4701337.79
2338.03	4702651.79
2339.6	4702891.79
2341.27	4703196
2343.12	4703783
2344.85	4704140
2346.43	4705358.27
2347.98	4705819.27
